City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Ust-Nera,RU,2022-01-28 00:25:34,64.5667,143.2,-28.03,98,91,2.15
89,Honningsvag,NO,2022-01-28 00:25:35,70.9821,25.9704,28.96,92,100,7.36
90,General Roca,AR,2022-01-28 00:26:35,-39.0333,-67.5833,82.8,22,0,16.13
91,Dukhovshchina,RU,2022-01-28 00:26:36,55.1919,32.4111,25.99,96,100,12.62
92,Imbituba,BR,2022-01-28 00:21:42,-28.24,-48.6703,73.81,86,100,13.65
93,Shieli,KZ,2022-01-28 00:26:36,44.1667,66.75,29.21,69,53,6.67
94,Anadyr,RU,2022-01-28 00:24:54,64.75,177.4833,14.5,73,75,11.18
95,Kurilsk,RU,2022-01-28 00:26:37,45.2333,147.8833,22.5,66,99,12.33
96,Khatanga,RU,2022-01-28 00:22:47,71.9667,102.5,5.49,77,97,16.64
97,Kahului,US,2022-01-28 00:26:37,20.8947,-156.47,84.22,64,20,13.8
98,Kruisfontein,ZA,2022-01-28 00:25:42,-34.0033,24.7314,64.89,83,100,7.23
99,Tias,ES,2022-01-28 00:26:38,28.9611,-13.645,55.15,67,20,10.36
100,Hervey Bay,AU,2022-01-28 00:26:38,-25.2986,152.8535,86.04,69,85,8.01
101,Pa Sang,TH,2022-01-28 00:26:38,18.5262,98.9394,65.37,45,18,0.58
102,Orlik,RU,2022-01-28 00:26:39,52.5178,99.825,-21.44,96,97,1.9
103,Kodiak,US,2022-01-28 00:22:52,57.79,-152.4072,36.91,87,100,13.8
104,Sao Filipe,CV,2022-01-28 00:25:10,14.8961,-24.4956,72.05,72,99,15.32
105,Mazagao,BR,2022-01-28 00:26:39,-0.115,-51.2894,77.05,97,99,3.11
106,La Palma,US,2022-01-28 00:26:40,33.8464,-118.0467,76.42,34,20,3.0
107,Hilo,US,2022-01-28 00:26:40,19.7297,-155.09,82.13,63,0,14.97
108,New Norfolk,AU,2022-01-28 00:24:16,-42.7826,147.0587,85.66,46,47,3.0
109,Cidreira,BR,2022-01-28 00:26:41,-30.1811,-50.2056,72.0,64,80,13.4
110,Dingle,PH,2022-01-28 00:26:41,10.9995,122.6711,79.2,86,78,6.73
111,Pingliang,CN,2022-01-28 00:26:42,35.5392,106.6861,19.92,88,100,5.5
112,Diamantino,BR,2022-01-28 00:26:42,-14.4086,-56.4461,72.79,95,99,4.38
113,Chazuta,PE,2022-01-28 00:26:42,-6.5742,-76.1367,86.85,90,62,0.51
114,Jingdezhen,CN,2022-01-28 00:26:43,29.2947,117.2079,41.07,95,100,4.59
115,Berlevag,NO,2022-01-28 00:26:43,70.8578,29.0864,26.83,88,100,7.29
116,Coquimbo,CL,2022-01-28 00:24:47,-29.9533,-71.3436,63.23,80,28,7.92
117,Garissa,KE,2022-01-28 00:26:44,-0.4536,39.6401,76.71,69,31,7.9
118,Faanui,PF,2022-01-28 00:26:44,-16.4833,-151.75,80.85,76,19,15.48
119,Ahipara,NZ,2022-01-28 00:26:44,-35.1667,173.1667,75.16,51,5,12.06
120,Guerrero Negro,MX,2022-01-28 00:23:03,27.9769,-114.0611,69.21,31,57,10.11
121,San Quintin,MX,2022-01-28 00:26:45,30.4833,-115.95,62.4,52,86,9.24
122,Dikson,RU,2022-01-28 00:25:45,73.5069,80.5464,1.02,95,100,25.59
123,Itapora,BR,2022-01-28 00:26:45,-22.0799,-54.7874,74.16,84,81,6.26
124,Itarema,BR,2022-01-28 00:26:46,-2.9248,-39.9167,76.05,85,100,7.27
125,Poum,NC,2022-01-28 00:23:29,-20.2333,164.0167,83.25,74,17,16.46
126,Wanning,CN,2022-01-28 00:22:57,18.8003,110.3967,69.17,93,26,5.79
127,Uvalde,US,2022-01-28 00:21:50,29.3669,-99.767,58.53,42,100,4.61
128,Rio Claro,BR,2022-01-28 00:26:47,-22.4114,-47.5614,76.39,82,98,3.6
129,Srandakan,ID,2022-01-28 00:26:47,-7.9386,110.2506,78.24,84,100,3.56
130,Santa Isabel Do Rio Negro,BR,2022-01-28 00:26:47,-0.4139,-65.0192,74.34,97,53,1.66
131,Weinan,CN,2022-01-28 00:26:48,34.5036,109.5089,33.49,98,100,1.28
132,Tiksi,RU,2022-01-28 00:26:26,71.6872,128.8694,-14.51,97,29,10.4
133,Tabou,CI,2022-01-28 00:26:48,4.423,-7.3528,79.29,80,33,5.79
134,Ilulissat,GL,2022-01-28 00:22:35,69.2167,-51.1,6.82,72,20,10.36
135,Loreto,MX,2022-01-28 00:26:49,22.2667,-101.9667,65.95,25,54,12.26
136,Port Keats,AU,2022-01-28 00:26:49,-14.25,129.55,81.93,83,91,15.3
137,Pemangkat,ID,2022-01-28 00:24:14,1.1667,108.9667,76.66,88,100,5.55
138,Saint-Philippe,RE,2022-01-28 00:26:50,-21.3585,55.7679,72.99,83,73,8.61
139,Bengkulu,ID,2022-01-28 00:27:50,-3.8004,102.2655,76.64,85,99,3.11
140,Hithadhoo,MV,2022-01-28 00:24:40,-0.6,73.0833,81.07,69,99,14.2
141,Fortuna,US,2022-01-28 00:27:51,40.5982,-124.1573,60.85,70,0,4.0
142,Angoche,MZ,2022-01-28 00:27:51,-16.2325,39.9086,73.13,93,25,6.2
143,Chuy,UY,2022-01-28 00:27:51,-33.6971,-53.4616,65.88,67,62,7.61
144,Spring Hill,US,2022-01-28 00:24:15,28.4769,-82.5255,64.69,76,100,1.99
145,Ierissos,GR,2022-01-28 00:27:52,40.4,23.8833,38.43,61,5,3.98
146,Minot,US,2022-01-28 00:26:49,48.2325,-101.2963,11.39,66,0,6.91
147,Jinxiang,CN,2022-01-28 00:27:52,27.4327,120.6062,49.17,86,100,15.75
148,Kosino,RU,2022-01-28 00:27:53,58.4127,51.2782,0.93,97,94,5.1
149,Kattivakkam,IN,2022-01-28 00:27:53,13.2167,80.3167,79.07,81,56,12.95
150,Westport,US,2022-01-28 00:24:42,41.1415,-73.3579,32.76,73,75,8.99
151,Kentau,KZ,2022-01-28 00:27:54,43.5206,68.5094,34.66,38,45,9.84
152,Eureka,US,2022-01-28 00:27:54,40.8021,-124.1637,61.12,65,0,1.99
153,Yellowknife,CA,2022-01-28 00:23:03,62.456,-114.3525,-5.28,84,40,3.44
154,Airai,TL,2022-01-28 00:27:25,-8.9266,125.4092,67.86,71,99,3.29
155,Harper,LR,2022-01-28 00:27:55,4.375,-7.7169,79.02,81,28,6.44
156,Aklavik,CA,2022-01-28 00:27:55,68.2191,-135.0107,-11.2,70,75,4.61
157,Torbay,CA,2022-01-28 00:27:55,47.6666,-52.7314,20.57,87,100,11.5
158,Kaeo,NZ,2022-01-28 00:27:56,-35.1,173.7833,74.32,68,73,15.32
159,College,US,2022-01-28 00:27:56,64.8569,-147.8028,-6.41,74,100,3.44
160,Aquiraz,BR,2022-01-28 00:27:56,-3.9014,-38.3911,81.21,85,100,7.16
161,Katsuura,JP,2022-01-28 00:25:17,35.1333,140.3,47.1,97,100,9.01
162,Moose Factory,CA,2022-01-28 00:24:18,51.2585,-80.6094,-9.4,70,0,9.22
163,Acarau,BR,2022-01-28 00:23:48,-2.8856,-40.12,75.96,86,100,7.96
164,Acapulco,MX,2022-01-28 00:27:57,16.8634,-99.8901,82.22,74,0,11.5
165,Newport,GB,2022-01-28 00:24:49,51.5877,-2.9984,41.67,90,11,3.85
166,Mahanje,TZ,2022-01-28 00:27:57,-9.9333,35.3333,65.1,97,100,2.51
167,Arraial Do Cabo,BR,2022-01-28 00:24:31,-22.9661,-42.0278,82.26,65,0,19.57
168,Prince George,CA,2022-01-28 00:27:58,53.9166,-122.753,30.29,68,0,4.61
169,Fereydun Kenar,IR,2022-01-28 00:27:58,36.6864,52.5225,49.69,86,100,10.04
170,Maniitsoq,GL,2022-01-28 00:27:59,65.4167,-52.9,4.91,84,100,16.89
171,Upernavik,GL,2022-01-28 00:27:59,72.7868,-56.1549,0.81,95,67,25.21
172,Fez,MA,2022-01-28 00:28:00,34.0372,-4.9998,50.25,49,0,3.44
173,Talnakh,RU,2022-01-28 00:28:00,69.4865,88.3972,4.21,93,100,16.31
174,Neuquen,AR,2022-01-28 00:28:00,-38.9516,-68.0591,82.29,26,0,8.05
