City ID,City,Country,Date,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Description
81,Marawi,PH,2022-01-29 20:42:32,7.9986,124.2928,66.65,66.65,94,86,0.76,overcast clouds
82,Payson,US,2022-01-29 20:42:33,40.0444,-111.7321,26.47,44.69,38,0,6.91,clear sky
83,Saldanha,ZA,2022-01-29 20:42:33,-33.0117,17.9442,68.05,68.05,87,0,16.91,clear sky
84,Qaanaaq,GL,2022-01-29 20:42:33,77.484,-69.3632,0.36,0.36,64,100,11.1,overcast clouds
85,Xichang,CN,2022-01-29 20:39:10,27.8964,102.2634,35.98,35.98,76,0,2.01,clear sky
86,Basco,PH,2022-01-29 20:42:34,20.4487,121.9702,74.64,74.64,83,99,25.3,overcast clouds
87,Thompson,CA,2022-01-29 20:40:27,55.7435,-97.8558,-0.24,-0.24,71,40,5.75,scattered clouds
88,Tiksi,RU,2022-01-29 20:38:39,71.6872,128.8694,-8.61,-8.61,99,53,4.79,broken clouds
89,Saint-Louis,SN,2022-01-29 20:42:35,16.3333,-15.0,81.05,81.05,17,100,11.34,overcast clouds
90,Suntar,RU,2022-01-29 20:42:35,62.1444,117.6319,-17.23,-17.23,97,56,4.83,broken clouds
91,Hasaki,JP,2022-01-29 20:43:35,35.7333,140.8333,26.89,27.0,61,65,19.8,broken clouds
92,Yellowknife,CA,2022-01-29 20:43:36,62.456,-114.3525,-7.08,-4.59,83,100,5.75,light snow
93,Nome,US,2022-01-29 20:43:36,64.5011,-165.4064,-9.33,-7.83,59,0,0.0,clear sky
94,Jumla,NP,2022-01-29 20:43:36,29.2747,82.1838,32.02,32.02,49,0,5.12,clear sky
95,Badvel,IN,2022-01-29 20:43:37,14.75,79.05,68.22,68.22,93,2,2.06,clear sky
96,Whitianga,NZ,2022-01-29 20:43:37,-36.8333,175.7,68.45,68.45,61,9,1.81,clear sky
97,Cape Town,ZA,2022-01-29 20:41:48,-33.9258,18.4232,66.09,72.01,71,20,4.0,few clouds
98,Saskylakh,RU,2022-01-29 20:43:38,71.9167,114.0833,-21.84,-21.84,100,99,3.44,overcast clouds
99,Lavrentiya,RU,2022-01-29 20:43:38,65.5833,-171.0,-3.82,-3.82,83,3,4.07,clear sky
100,Solnechnyy,RU,2022-01-29 20:43:39,50.7214,136.6319,-17.57,-17.57,94,61,2.95,broken clouds
101,Axim,GH,2022-01-29 20:43:39,4.8699,-2.2405,80.11,80.11,84,59,7.34,broken clouds
102,Pisco,PE,2022-01-29 20:43:39,-13.7,-76.2167,72.01,75.25,64,0,16.11,clear sky
103,Cap Malheureux,MU,2022-01-29 20:43:40,-19.9842,57.6142,79.47,81.09,75,87,4.0,overcast clouds
104,Ocean City,US,2022-01-29 20:43:40,39.2776,-74.5746,16.99,23.29,89,100,14.0,overcast clouds
105,Constitucion,CL,2022-01-29 20:40:58,-35.3333,-72.4167,65.12,65.12,74,51,10.33,broken clouds
106,Mangrol,IN,2022-01-29 20:43:41,21.1167,70.1167,65.37,65.37,37,2,10.92,clear sky
107,Quatre Cocos,MU,2022-01-29 20:43:41,-20.2078,57.7625,79.09,80.71,71,97,14.32,overcast clouds
108,San Juan De La Maguana,DO,2022-01-29 20:43:42,18.8059,-71.2299,75.33,75.33,46,38,6.33,scattered clouds
109,Muisne,EC,2022-01-29 20:43:42,0.6,-80.0333,82.51,82.51,85,100,3.89,light rain
110,Erenhot,CN,2022-01-29 20:43:42,43.6475,111.9767,7.34,7.34,89,100,5.26,overcast clouds
111,Bethel,US,2022-01-29 20:39:59,41.3712,-73.414,9.84,17.76,66,100,8.01,overcast clouds
112,Kodiak,US,2022-01-29 20:39:49,57.79,-152.4072,33.31,33.31,60,0,25.32,clear sky
113,Belaya Gora,RU,2022-01-29 20:43:43,68.5333,146.4167,-15.84,-15.84,100,100,1.12,overcast clouds
114,Mayo,US,2022-01-29 20:43:43,38.8876,-76.5119,22.95,28.2,42,100,14.0,overcast clouds
115,Jalu,LY,2022-01-29 20:43:44,29.0331,21.5482,52.7,52.7,39,0,10.98,clear sky
116,Buala,SB,2022-01-29 20:43:44,-8.145,159.5921,81.32,81.32,83,100,6.8,light rain
117,Srednekolymsk,RU,2022-01-29 20:43:45,67.45,153.6833,-24.95,-24.95,100,93,4.14,overcast clouds
118,Saint-Augustin,CA,2022-01-29 20:43:45,51.226,-58.6502,7.83,7.83,79,100,15.21,overcast clouds
119,Samana,DO,2022-01-29 20:43:45,19.2056,-69.3369,86.22,87.76,66,20,11.5,few clouds
120,Mehamn,NO,2022-01-29 20:43:46,71.0357,27.8492,19.35,19.35,86,75,11.5,broken clouds
121,Norman Wells,CA,2022-01-29 20:43:46,65.282,-126.8329,-21.96,-21.96,69,20,3.44,few clouds
122,Khatanga,RU,2022-01-29 20:43:47,71.9667,102.5,-4.34,-4.34,99,100,5.53,overcast clouds
123,Nisia Floresta,BR,2022-01-29 20:43:47,-6.0911,-35.2086,81.41,82.78,77,98,7.29,overcast clouds
124,Argudan,RU,2022-01-29 20:43:47,43.4214,43.9158,24.73,29.28,77,95,4.23,overcast clouds
125,Sao Raimundo Nonato,BR,2022-01-29 20:43:48,-9.0153,-42.6994,73.96,73.96,85,75,1.39,broken clouds
126,Pangnirtung,CA,2022-01-29 20:39:50,66.1451,-65.7125,-16.6,-16.6,69,100,2.3,light snow
127,Kahului,US,2022-01-29 20:39:19,20.8947,-156.47,78.06,80.62,57,20,10.36,few clouds
128,Provideniya,RU,2022-01-29 20:43:48,64.3833,-173.3,2.66,2.66,86,4,5.01,clear sky
129,Iqaluit,CA,2022-01-29 20:43:48,63.7506,-68.5145,-7.87,-7.87,59,100,9.22,light snow
130,Carnarvon,AU,2022-01-29 20:43:49,-24.8667,113.6333,77.07,77.07,83,84,10.36,broken clouds
131,Mutoko,ZW,2022-01-29 20:43:49,-17.397,32.2268,64.89,64.89,87,100,7.14,overcast clouds
132,Dikson,RU,2022-01-29 20:43:50,73.5069,80.5464,3.61,3.61,93,99,21.88,overcast clouds
133,Faya,SA,2022-01-29 20:39:46,18.3851,42.4509,50.11,50.52,73,0,5.48,clear sky
134,Guiratinga,BR,2022-01-29 20:43:50,-16.3494,-53.7583,76.68,76.68,88,94,3.98,overcast clouds
135,Mar Del Plata,AR,2022-01-29 20:42:24,-38.0023,-57.5575,72.88,84.22,89,0,18.99,light rain
136,Mount Gambier,AU,2022-01-29 20:44:51,-37.8333,140.7667,62.51,62.51,88,100,6.91,overcast clouds
137,Petropavlovsk-Kamchatskiy,RU,2022-01-29 20:44:51,53.0452,158.6483,17.78,18.19,100,75,4.47,broken clouds
138,Wana,PK,2022-01-29 20:44:51,32.2989,69.5725,45.36,45.36,49,40,4.09,scattered clouds
139,Koosa,EE,2022-01-29 20:44:52,58.5255,27.0795,28.2,30.34,95,100,21.94,snow
140,Lafia,NG,2022-01-29 20:44:52,8.4833,8.5167,80.17,80.17,15,100,6.4,overcast clouds
141,Qasigiannguit,GL,2022-01-29 20:44:53,68.8193,-51.1922,12.45,12.45,72,88,15.1,overcast clouds
142,Vestmannaeyjar,IS,2022-01-29 20:44:53,63.4427,-20.2734,40.37,40.37,67,100,18.05,overcast clouds
143,Shashi,CN,2022-01-29 20:44:53,30.3072,112.2447,33.64,33.64,91,29,1.21,scattered clouds
144,Saint-Philippe,RE,2022-01-29 20:44:54,-21.3585,55.7679,76.55,76.59,85,55,9.06,light rain
145,Hope,US,2022-01-29 20:44:54,33.6671,-93.5916,54.95,57.97,35,0,10.56,clear sky
146,Poronaysk,RU,2022-01-29 20:44:55,49.2167,143.1167,-2.4,-2.4,85,100,6.4,overcast clouds
147,Hay River,CA,2022-01-29 20:44:55,60.8156,-115.7999,-2.24,-2.22,78,75,6.91,light snow
148,Chokurdakh,RU,2022-01-29 20:44:55,70.6333,147.9167,-13.09,-13.09,88,100,1.61,overcast clouds
149,Airai,TL,2022-01-29 20:40:00,-8.9266,125.4092,60.71,60.71,92,100,3.29,overcast clouds
150,Kyra,RU,2022-01-29 20:44:56,49.5776,111.9753,-9.69,-9.69,95,5,4.72,clear sky
151,Henties Bay,NA,2022-01-29 20:44:56,-22.116,14.2845,63.86,63.86,82,46,5.84,scattered clouds
152,Riyadh,SA,2022-01-29 20:43:31,24.6877,46.7219,53.74,53.74,37,0,10.92,clear sky
153,Hamada,JP,2022-01-29 20:44:57,34.8833,132.0833,37.0,37.0,63,100,6.62,overcast clouds
154,Abu Dhabi,AE,2022-01-29 20:44:57,24.4667,54.3667,66.22,66.96,76,0,3.44,clear sky
155,Tabas,IR,2022-01-29 20:44:57,33.5959,56.9244,46.47,46.47,27,1,2.8,clear sky
156,Ambulu,ID,2022-01-29 20:44:58,-8.345,113.6058,75.83,75.83,91,100,1.95,overcast clouds
157,Karlskrona,SE,2022-01-29 20:44:58,56.1616,15.5866,43.25,43.25,67,84,37.09,broken clouds
158,Makakilo City,US,2022-01-29 20:44:59,21.3469,-158.0858,74.95,79.12,57,0,11.5,clear sky
159,Ust-Maya,RU,2022-01-29 20:44:59,60.4167,134.5333,-32.35,-32.35,100,93,0.58,overcast clouds
160,Heihe,CN,2022-01-29 20:44:59,50.2441,127.4902,0.18,0.18,86,12,8.95,few clouds
161,Arlit,NE,2022-01-29 20:45:00,18.7369,7.3853,64.17,64.17,14,1,7.85,clear sky
162,Sola,VU,2022-01-29 20:45:00,-13.8833,167.55,83.21,83.21,77,100,21.65,overcast clouds
163,Tabou,CI,2022-01-29 20:45:01,4.423,-7.3528,80.26,80.26,85,30,6.85,scattered clouds
164,Mandalgovi,MN,2022-01-29 20:45:01,45.7625,106.2708,-0.72,-0.72,90,100,17.11,overcast clouds
165,Qaqortoq,GL,2022-01-29 20:45:01,60.7167,-46.0333,14.5,14.5,91,100,1.66,light snow
166,Launceston,AU,2022-01-29 20:40:14,-41.45,147.1667,54.81,60.62,80,1,1.99,clear sky
167,Nadym,RU,2022-01-29 20:45:02,65.5333,72.5167,-7.47,-7.47,95,99,9.01,overcast clouds
168,Faanui,PF,2022-01-29 20:45:02,-16.4833,-151.75,80.04,80.04,74,18,11.59,light rain
169,Sao Filipe,CV,2022-01-29 20:45:03,14.8961,-24.4956,71.11,71.11,71,100,13.0,overcast clouds
170,Merauke,ID,2022-01-29 20:45:03,-8.4667,140.3333,80.78,80.78,76,100,9.46,overcast clouds
171,Codrington,AU,2022-01-29 20:45:03,-38.2667,141.9667,63.81,63.81,82,80,6.33,broken clouds
172,Vladivostok,RU,2022-01-29 20:45:04,43.1056,131.8735,3.02,3.22,74,20,5.7,few clouds
173,San Cristobal,VE,2022-01-29 20:45:04,7.7669,-72.225,78.98,78.98,43,9,7.54,clear sky
174,Antalaha,MG,2022-01-29 20:45:05,-14.9003,50.2788,73.56,73.56,88,14,5.46,few clouds
175,Katobu,ID,2022-01-29 20:45:05,-4.9408,122.5276,75.96,75.96,89,100,3.29,overcast clouds
176,Char Bhadrasan,BD,2022-01-29 20:45:06,23.3167,90.2167,59.05,59.05,52,0,4.07,clear sky
177,Verkh-Usugli,RU,2022-01-29 20:45:06,52.7,115.1667,-14.69,-14.69,96,10,2.82,clear sky
178,Matveyev Kurgan,RU,2022-01-29 20:45:06,47.5645,38.8695,31.71,31.71,91,100,14.07,overcast clouds
179,Pevek,RU,2022-01-29 20:45:07,69.7008,170.3133,-18.06,-18.06,99,82,3.44,broken clouds
180,Beya,RU,2022-01-29 20:46:07,53.0533,90.9139,0.1,0.1,97,96,0.98,overcast clouds
181,Hirara,JP,2022-01-29 20:46:08,24.8,125.2833,69.39,69.39,80,100,25.3,overcast clouds
182,San Patricio,US,2022-01-29 20:46:08,28.017,-97.5169,58.82,66.61,25,54,5.39,broken clouds
183,Puerto Del Rosario,ES,2022-01-29 20:46:09,28.5004,-13.8627,62.35,64.08,77,0,4.61,haze
184,Emborion,GR,2022-01-29 20:46:09,40.4833,21.55,28.76,31.84,84,37,4.12,scattered clouds
185,Aasiaat,GL,2022-01-29 20:46:10,68.7098,-52.8699,-3.68,-3.68,96,100,8.77,overcast clouds
186,Egvekinot,RU,2022-01-29 20:46:10,66.3167,-179.1667,-6.32,-6.32,65,12,2.59,few clouds
187,Esperance,AU,2022-01-29 20:46:10,-33.8667,121.9,64.24,64.24,79,0,12.26,clear sky
188,Wufeng,CN,2022-01-29 20:46:11,27.45,104.8333,27.57,27.57,91,12,0.76,few clouds
189,French Harbor,HN,2022-01-29 20:46:11,16.35,-86.4333,73.4,75.99,85,100,5.01,overcast clouds
190,Putina,PE,2022-01-29 20:46:12,-15.4667,-69.4333,52.5,52.5,64,100,6.38,overcast clouds
191,Palmer,US,2022-01-29 20:46:12,42.1584,-72.3287,8.85,15.73,79,100,4.0,light snow
192,Ahuimanu,US,2022-01-29 20:46:13,21.4447,-157.8378,76.14,80.31,60,20,4.0,few clouds
193,Bahia Honda,CU,2022-01-29 20:46:13,22.9036,-83.1592,66.7,66.7,54,94,15.86,overcast clouds
194,Lorengau,PG,2022-01-29 20:46:13,-2.0226,147.2712,80.64,80.64,80,99,7.29,overcast clouds
195,Vila Do Maio,CV,2022-01-29 20:46:14,15.1333,-23.2167,70.59,70.59,71,100,19.17,overcast clouds
196,Mazagao,BR,2022-01-29 20:46:14,-0.115,-51.2894,78.85,78.85,96,100,4.03,light rain
197,Aljezur,PT,2022-01-29 20:46:15,37.3191,-8.8033,54.28,54.28,54,53,6.42,broken clouds
198,Yendi,GH,2022-01-29 20:46:15,9.4427,-0.0099,83.77,83.77,15,46,5.93,scattered clouds
199,Narsaq,GL,2022-01-29 20:46:16,60.9167,-46.05,14.22,14.22,96,100,2.48,light snow
200,Samarai,PG,2022-01-29 20:46:16,-10.6167,150.6667,80.17,80.17,78,100,8.23,overcast clouds
201,Myski,RU,2022-01-29 20:46:16,53.709,87.8014,-1.21,-1.21,100,58,2.73,broken clouds
202,Niquero,CU,2022-01-29 20:46:17,20.0431,-77.5828,79.23,79.23,59,1,12.15,clear sky
203,Isangel,VU,2022-01-29 20:46:17,-19.55,169.2667,77.11,77.11,94,100,10.36,heavy intensity rain
204,Sambava,MG,2022-01-29 20:46:18,-14.2667,50.1667,75.79,75.79,90,19,9.19,few clouds
205,Sisimiut,GL,2022-01-29 20:46:18,66.9395,-53.6735,8.02,8.02,85,100,31.68,light snow
206,Bowen,AU,2022-01-29 20:42:13,-20.0167,148.2333,71.82,71.82,79,8,9.98,clear sky
207,Upernavik,GL,2022-01-29 20:46:19,72.7868,-56.1549,1.8,1.8,93,100,8.5,overcast clouds
