City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
102,Bredasdorp,ZA,2022-01-29 19:24:58,-34.5322,20.0403,66.27,70,5,11.9,clear sky
103,Bowen,AU,2022-01-29 19:24:59,-20.0167,148.2333,73.62,81,7,10.89,clear sky
104,Pedasi,PA,2022-01-29 19:17:17,7.5333,-80.0333,92.07,69,4,14.81,clear sky
105,Huarmey,PE,2022-01-29 19:17:17,-10.0681,-78.1522,76.01,71,22,12.19,few clouds
106,Port Elizabeth,ZA,2022-01-29 19:17:18,-33.918,25.5701,69.1,77,75,11.5,broken clouds
107,Hualmay,PE,2022-01-29 19:17:18,-11.0964,-77.6139,75.38,70,74,11.3,broken clouds
108,Margate,GB,2022-01-29 19:17:19,51.3813,1.3862,51.31,65,59,10.0,broken clouds
109,Ornskoldsvik,SE,2022-01-29 19:17:20,63.2909,18.7153,31.82,100,100,6.91,light snow
110,Bafra,TR,2022-01-29 19:17:20,41.5678,35.9069,38.98,68,98,7.63,overcast clouds
111,New Norfolk,AU,2022-01-29 19:17:21,-42.7826,147.0587,58.5,99,22,1.23,few clouds
112,Teya,RU,2022-01-29 19:17:21,60.3778,92.6267,3.24,98,100,3.31,overcast clouds
113,Cabedelo,BR,2022-01-29 19:17:21,-6.9811,-34.8339,83.07,71,55,8.57,broken clouds
114,Allada,BJ,2022-01-29 19:17:22,6.6655,2.1514,83.16,56,87,5.14,overcast clouds
115,Hambantota,LK,2022-01-29 19:17:22,6.1241,81.1185,78.24,81,72,6.38,broken clouds
116,Toora-Khem,RU,2022-01-29 19:17:22,52.4675,96.11,-22.63,100,95,0.45,overcast clouds
117,Mayo,US,2022-01-29 19:17:23,38.8876,-76.5119,28.9,44,40,14.0,scattered clouds
118,Lipin Bor,RU,2022-01-29 19:17:23,60.2622,37.9763,3.49,100,99,3.42,overcast clouds
119,Auki,SB,2022-01-29 19:17:23,-8.7676,160.7034,77.45,89,96,7.05,light rain
120,Upernavik,GL,2022-01-29 19:17:23,72.7868,-56.1549,1.42,93,100,3.65,overcast clouds
121,Zhigansk,RU,2022-01-29 19:17:24,66.7697,123.3711,-27.8,100,100,3.67,overcast clouds
122,Henties Bay,NA,2022-01-29 19:17:24,-22.116,14.2845,63.86,81,90,7.74,overcast clouds
123,Dikson,RU,2022-01-29 19:17:24,73.5069,80.5464,2.88,93,100,21.41,overcast clouds
124,Cap Malheureux,MU,2022-01-29 19:17:25,-19.9842,57.6142,81.09,75,75,5.99,broken clouds
125,Pemangkat,ID,2022-01-29 19:17:26,1.1667,108.9667,77.2,86,100,3.44,overcast clouds
126,Puerto Ayora,EC,2022-01-29 19:13:21,-0.7393,-90.3518,80.56,69,17,9.64,few clouds
127,Pochutla,MX,2022-01-29 19:17:26,15.7432,-96.4661,86.83,44,0,10.6,clear sky
128,Port Hardy,CA,2022-01-29 19:16:05,50.6996,-127.4199,46.76,87,100,18.41,light rain
129,Fortuna,US,2022-01-29 19:17:27,40.5982,-124.1573,58.93,60,0,7.0,clear sky
130,Kruisfontein,ZA,2022-01-29 19:17:27,-34.0033,24.7314,66.88,80,0,9.69,clear sky
131,Korla,CN,2022-01-29 19:17:27,41.7597,86.1469,23.61,56,100,4.79,overcast clouds
132,Vanavara,RU,2022-01-29 19:17:28,60.34,102.2797,-6.92,99,100,3.09,overcast clouds
133,Longyearbyen,SJ,2022-01-29 19:17:28,78.2186,15.6401,8.44,66,0,16.11,clear sky
134,Lompoc,US,2022-01-29 19:17:28,34.6391,-120.4579,68.09,44,0,5.75,clear sky
135,Chapais,CA,2022-01-29 19:17:29,49.7834,-74.8492,-4.22,76,6,4.41,clear sky
136,Lavrentiya,RU,2022-01-29 19:17:29,65.5833,-171.0,-4.56,84,6,3.78,clear sky
137,Santa Marta,CO,2022-01-29 19:15:23,11.2408,-74.199,89.65,59,20,1.99,few clouds
138,Los Llanos De Aridane,ES,2022-01-29 19:17:29,28.6585,-17.9182,62.35,77,19,10.36,few clouds
139,Baniyas,SY,2022-01-29 19:17:30,35.1819,35.9487,50.29,77,65,10.13,broken clouds
140,Kapaa,US,2022-01-29 19:17:30,22.0752,-159.319,77.32,82,100,11.5,overcast clouds
141,Lagoa,PT,2022-01-29 19:17:30,39.05,-27.9833,57.92,76,84,11.3,broken clouds
142,Namatanai,PG,2022-01-29 19:26:00,-3.6667,152.4333,79.12,82,100,2.13,light rain
143,Port Lincoln,AU,2022-01-29 19:26:03,-34.7333,135.8667,64.26,88,32,14.38,scattered clouds
144,Cayenne,GF,2022-01-29 19:26:03,4.9333,-52.3333,84.24,80,75,7.0,broken clouds
145,Kirakira,SB,2022-01-29 19:26:00,-10.4544,161.9205,79.48,86,100,8.19,moderate rain
146,Westport,US,2022-01-29 19:26:04,41.1415,-73.3579,18.75,88,100,5.01,light snow
147,Marfino,RU,2022-01-29 19:26:04,55.7028,37.3822,25.05,86,100,4.47,mist
148,Husavik,IS,2022-01-29 19:26:04,66.0449,-17.3389,28.31,76,11,21.23,few clouds
149,Mareeba,AU,2022-01-29 19:26:05,-17.0,145.4333,72.32,98,100,2.17,overcast clouds
150,Mar Del Plata,AR,2022-01-29 19:23:11,-38.0023,-57.5575,86.02,89,0,21.0,light rain
151,Ancud,CL,2022-01-29 19:26:05,-41.8697,-73.8203,70.43,70,33,11.97,scattered clouds
152,Tuatapere,NZ,2022-01-29 19:26:06,-46.1333,167.6833,61.83,93,100,4.09,light rain
153,Oussouye,SN,2022-01-29 19:26:06,12.485,-16.5469,86.18,46,100,14.27,overcast clouds
154,Campbellton,CA,2022-01-29 19:26:07,48.0075,-66.6727,5.45,88,100,6.8,light snow
155,Socorro,US,2022-01-29 19:26:07,31.6546,-106.3033,53.91,26,20,4.61,few clouds
156,Clyde River,CA,2022-01-29 19:24:13,70.4692,-68.5914,-7.37,64,100,14.97,snow
157,Datong,CN,2022-01-29 19:26:08,40.0936,113.2914,20.35,50,9,3.24,clear sky
158,Mitsamiouli,KM,2022-01-29 19:26:08,-11.3847,43.2844,81.55,73,42,6.85,scattered clouds
159,Torbay,CA,2022-01-29 19:26:08,47.6666,-52.7314,34.29,86,100,19.57,overcast clouds
160,East London,ZA,2022-01-29 19:26:09,-33.0153,27.9116,72.39,78,100,12.97,overcast clouds
161,Poya,NC,2022-01-29 19:26:09,-21.35,165.15,77.52,91,49,4.09,scattered clouds
162,Alofi,NU,2022-01-29 19:26:09,-19.0595,-169.9187,80.49,89,100,5.75,overcast clouds
163,Marzuq,YE,2022-01-29 19:26:10,14.4,46.4667,63.37,73,7,4.7,clear sky
164,Torrox,ES,2022-01-29 19:26:10,36.7579,-3.9523,58.66,41,0,5.01,clear sky
165,San Quintin,MX,2022-01-29 19:26:11,30.4833,-115.95,66.27,34,5,2.77,clear sky
166,Klaksvik,FO,2022-01-29 19:26:11,62.2266,-6.589,34.72,65,77,34.47,broken clouds
167,Katsuura,JP,2022-01-29 19:25:58,35.1333,140.3,41.18,84,31,13.91,scattered clouds
168,Winnemucca,US,2022-01-29 19:25:37,40.973,-117.7357,39.25,38,0,0.0,clear sky
169,Kantang,TH,2022-01-29 19:26:12,7.4054,99.5156,75.63,88,11,2.04,few clouds
170,Thompson,CA,2022-01-29 19:23:50,55.7435,-97.8558,-0.24,71,40,6.91,scattered clouds
171,Poum,NC,2022-01-29 19:21:21,-20.2333,164.0167,80.73,80,32,8.77,scattered clouds
172,Guerrero Negro,MX,2022-01-29 19:22:54,27.9769,-114.0611,69.78,29,7,4.18,clear sky
173,Pskov,RU,2022-01-29 19:26:12,57.8136,28.3496,28.31,69,0,13.42,snow
174,Tazovskiy,RU,2022-01-29 19:26:13,67.4667,78.7,-16.31,100,98,5.86,overcast clouds
175,Ixtapa,MX,2022-01-29 19:26:13,20.7,-105.2,76.23,57,0,5.75,clear sky
176,Linxi,CN,2022-01-29 19:26:13,39.7,118.4333,21.92,35,0,1.39,clear sky
177,Tiksi,RU,2022-01-29 19:26:14,71.6872,128.8694,-8.48,100,56,3.98,broken clouds
178,Rio Grande,BR,2022-01-29 19:26:14,-32.035,-52.0986,80.71,52,0,14.18,clear sky
179,Kaitangata,NZ,2022-01-29 19:26:15,-46.2817,169.8464,54.86,95,100,4.54,overcast clouds
180,Puerto Narino,CO,2022-01-29 19:26:15,-3.7703,-70.3831,91.35,36,25,5.64,scattered clouds
181,Kloulklubed,PW,2022-01-29 19:26:15,7.0419,134.2556,81.43,77,68,6.06,broken clouds
182,Anastacio,BR,2022-01-29 19:26:16,-20.4836,-55.8069,84.88,72,22,2.68,few clouds
183,Bongandanga,CD,2022-01-29 19:26:16,1.5,21.05,78.24,29,7,1.63,clear sky
184,Chokurdakh,RU,2022-01-29 19:26:17,70.6333,147.9167,-13.4,87,100,1.05,overcast clouds
185,Camacupa,AO,2022-01-29 19:26:17,-12.0167,17.4833,63.25,93,100,4.05,overcast clouds
186,Victoria,HK,2022-01-29 19:24:48,22.2855,114.1577,62.26,81,100,15.01,overcast clouds
187,Aykhal,RU,2022-01-29 19:24:12,66.0,111.5,-19.71,99,5,4.83,clear sky
188,Ponte Nova,BR,2022-01-29 19:27:18,-20.4164,-42.9086,80.42,81,93,6.42,light rain
189,Najran,SA,2022-01-29 19:24:54,17.4924,44.1277,63.25,34,11,3.49,few clouds
190,Ziarat,PK,2022-01-29 19:27:18,30.3823,67.7282,38.25,45,35,4.5,scattered clouds
191,Ribeira Grande,PT,2022-01-29 19:26:31,38.5167,-28.7,61.2,63,20,6.91,few clouds
192,Cherskiy,RU,2022-01-29 19:27:19,68.75,161.3,-29.4,100,23,1.41,few clouds
193,Pachino,IT,2022-01-29 19:27:19,36.7186,15.0907,46.6,56,3,14.92,clear sky
194,Kargil,IN,2022-01-29 19:27:19,34.5667,76.1,-3.96,98,97,2.51,overcast clouds
195,Severo-Kurilsk,RU,2022-01-29 19:27:20,50.6789,156.125,23.43,75,86,19.39,overcast clouds
196,Bireun,ID,2022-01-29 19:27:20,5.203,96.7009,76.75,86,89,3.89,overcast clouds
197,Cidreira,BR,2022-01-29 19:27:21,-30.1811,-50.2056,74.66,56,84,12.41,broken clouds
198,Bethel,US,2022-01-29 19:27:21,41.3712,-73.414,16.03,79,100,8.01,snow
199,Saint George,US,2022-01-29 19:27:22,37.1041,-113.5841,56.35,22,0,1.99,clear sky
200,Baker City,US,2022-01-29 19:27:22,44.7749,-117.8344,28.81,68,0,0.0,clear sky
201,Butembo,CD,2022-01-29 19:27:22,0.15,29.2833,61.09,63,85,3.02,overcast clouds
202,Nagato,JP,2022-01-29 19:27:23,34.3833,131.2,40.91,56,100,7.0,overcast clouds
203,San Patricio,US,2022-01-29 19:27:23,28.017,-97.5169,65.16,28,8,3.71,clear sky
204,Staritsa,RU,2022-01-29 19:27:24,56.5075,34.9354,20.39,94,100,4.54,overcast clouds
