City ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
78,Mont-Dore,NC,79.0,broken clouds,-22.2833,166.5833,GIte
79,Bredasdorp,ZA,65.52,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
81,Marawi,PH,66.65,overcast clouds,7.9986,124.2928,Derogongan Residence
83,Saldanha,ZA,68.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
86,Basco,PH,74.64,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
89,Saint-Louis,SN,81.05,overcast clouds,16.3333,-15.0,
95,Badvel,IN,68.22,clear sky,14.75,79.05,UNS Residency Lodge A/c
96,Whitianga,NZ,68.45,clear sky,-36.8333,175.7,Beachside Resort Whitianga
97,Cape Town,ZA,72.01,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
101,Axim,GH,80.11,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
102,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
103,Cap Malheureux,MU,81.09,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
105,Constitucion,CL,65.12,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
106,Mangrol,IN,65.37,clear sky,21.1167,70.1167,Hotel The Royal Honours
107,Quatre Cocos,MU,80.71,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
108,San Juan De La Maguana,DO,75.33,scattered clouds,18.8059,-71.2299,Hotel Maguana
109,Muisne,EC,82.51,light rain,0.6,-80.0333,Quinta Samay
116,Buala,SB,81.32,light rain,-8.145,159.5921,Maringe Lagoon Lodge
119,Samana,DO,87.76,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
123,Nisia Floresta,BR,82.78,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
125,Sao Raimundo Nonato,BR,73.96,broken clouds,-9.0153,-42.6994,Real Hotel
127,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
130,Carnarvon,AU,77.07,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
131,Mutoko,ZW,64.89,overcast clouds,-17.397,32.2268,Mutoko Hotel
134,Guiratinga,BR,76.68,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
